
--- [START 2018-02-26_02-24-30] ----------------------------------------------------------------

** some experiment setting **
	SEED         = 35202
	PROJECT_PATH = /root/share/project/kaggle/science2018/build/dummy-15.3
	out_dir      = /root/share/project/kaggle/science2018/results/mask-single-shot-dummy-15

** net setting **
<class 'net.resnet50_fpn_mask_single_shot_0.model.MaskSingleShotNet'>


** dataset setting **
	WIDTH, HEIGHT = 192, 192
	train_dataset.split = debug1_ids_gray_only_10
	valid_dataset.split = debug1_ids_gray_only_10
	len(train_dataset)  = 10
	len(valid_dataset)  = 10
	len(train_loader)   = 2
	len(valid_loader)   = 3
	batch_size  = 4
	iter_accum  = 1
	batch_size*iter_accum  = 4

** start training here! **
 optimizer=SGD (
Parameter Group 0
    dampening: 0
    lr: 0.01
    momentum: 0.9
    nesterov: False
    weight_decay: 0.0001
)
 momentum=0.900000
 LR=None

 images_per_epoch = 10

 rate    iter   epoch  num   | valid_loss               | train_loss               | batch_loss               |  time          
-------------------------------------------------------------------------------------------------------------------------------
0.0000   0.0 k    0.0  0.0 m | 1.681   0.17 0.12   0.70 | 0.000   0.00 0.00   0.00 | 0.000   0.00 0.00   0.00 |  0 hr 00 min
0.0100   0.1 k   40.0  0.0 m | 1.523   0.08 0.07   0.69 | 1.525   0.06 0.08   0.69 | 1.545   0.06 0.09   0.70 |  0 hr 04 min
0.0100   0.2 k   80.0  0.0 m | 0.937   0.05 0.06   0.42 | 1.034   0.06 0.08   0.45 | 0.677   0.04 0.06   0.29 |  0 hr 09 min
0.0100   0.3 k  120.0  0.0 m | 0.575   0.04 0.05   0.25 | 0.712   0.04 0.06   0.31 | 0.593   0.04 0.06   0.24 |  0 hr 14 min
0.0100   0.4 k  160.0  0.0 m | 0.543   0.04 0.04   0.23 | 0.806   0.04 0.05   0.36 | 0.632   0.04 0.05   0.27 |  0 hr 18 min
0.0100   0.5 k  200.0  0.0 m | 0.519   0.03 0.04   0.23 | 0.508   0.03 0.04   0.22 | 0.550   0.05 0.04   0.23 |  0 hr 23 min
0.0100   0.6 k  240.0  0.0 m | 0.566   0.03 0.04   0.25 | 0.493   0.03 0.04   0.21 | 0.433   0.02 0.04   0.18 |  0 hr 27 min
0.0100   0.7 k  280.0  0.0 m | 0.505   0.03 0.03   0.22 | 0.447   0.02 0.03   0.19 | 0.480   0.03 0.04   0.20 |  0 hr 32 min
0.0100   0.8 k  320.0  0.0 m | 0.465   0.03 0.03   0.20 | 0.464   0.02 0.03   0.20 | 0.610   0.03 0.04   0.27 |  0 hr 37 min
0.0100   0.9 k  360.0  0.0 m | 0.443   0.02 0.03   0.20 | 0.413   0.01 0.03   0.18 | 0.371   0.03 0.04   0.15 |  0 hr 41 min
0.0100   1.0 k  400.0  0.0 m | 0.397   0.02 0.02   0.18 | 0.489   0.03 0.04   0.21 | 0.468   0.02 0.03   0.21 |  0 hr 46 min
0.0100   1.1 k  440.0  0.0 m | 0.408   0.02 0.03   0.18 | 0.413   0.03 0.03   0.17 | 0.483   0.02 0.03   0.22 |  0 hr 51 min
0.0100   1.2 k  480.0  0.0 m | 0.391   0.02 0.02   0.17 | 0.528   0.03 0.04   0.23 | 0.361   0.02 0.03   0.16 |  0 hr 56 min
0.0100   1.3 k  520.0  0.0 m | 0.367   0.02 0.02   0.16 | 0.296   0.01 0.02   0.13 | 0.523   0.02 0.03   0.24 |  1 hr 01 min
0.0100   1.4 k  560.0  0.0 m | 0.439   0.02 0.02   0.20 | 0.515   0.02 0.02   0.24 | 0.429   0.02 0.03   0.19 |  1 hr 05 min
0.0100   1.5 k  600.0  0.0 m | 0.396   0.02 0.02   0.18 | 0.435   0.02 0.03   0.19 | 0.538   0.02 0.03   0.24 |  1 hr 10 min
0.0100   1.6 k  640.0  0.0 m | 0.386   0.02 0.02   0.17 | 0.379   0.02 0.03   0.17 | 0.444   0.02 0.03   0.20 |  1 hr 15 min
0.0100   1.7 k  680.0  0.0 m | 0.364   0.02 0.02   0.16 | 0.368   0.02 0.02   0.17 | 0.376   0.02 0.03   0.17 |  1 hr 20 min
0.0100   1.8 k  720.0  0.0 m | 0.341   0.02 0.02   0.15 | 0.409   0.02 0.02   0.18 | 0.282   0.01 0.02   0.12 |  1 hr 25 min
0.0100   1.9 k  760.0  0.0 m | 0.362   0.02 0.02   0.16 | 0.432   0.02 0.02   0.20 | 0.430   0.02 0.02   0.19 |  1 hr 30 min
0.0100   2.0 k  800.0  0.0 m | 0.369   0.02 0.02   0.16 | 0.421   0.02 0.02   0.19 | 0.353   0.02 0.02   0.15 |  1 hr 35 min
